text,label
"I really want to love this shirt, but the small is just way too big on me. for reference, i'm a 32d (which is why i didn't want to size down much more than a small), 5'6' and 125 and i'm drowning in this. i'm going to try it with different bottoms and ultimately will keep it because i do love the quality. just size down a couple of sizes!!",positive
"Absolutely love these leggings - warm, comfortable - great way to relax after a long day? snuggle up in these...do stretch even longer after a while, but wash and wear again is easy - even wear out of the house...bought in green and love how well they go with sweaters, shirts, etc. -",positive
"I really like how this shirt flows and feels. the details are super cute (double buttons in front, pleats in back). great shirt to transition to fall.",positive
"I purchased this on a whim and i'm so glad i did. this is a gorgeous piece. fabric is soft very feminine and stylish. quality is outstanding. it can be worn with a dress or jeans. lovely shades of pink and soft gray. i live in florida, so it's a bit heavy for hotter weather, but will be great on a cool spring day. love it!",positive
I loved the style and shape of the dress . it does run small. i had to return it because some of the black dots pulled and looked like it might be more of a problem as i wore it,negative
"I really like this top. while it looks somewhat like just a t-shirt, it is not. the fabric is light and soft, it has a great texture feel, it dioes not feel like a regular cotton shirt. the print is lovely. i am very pleased.",positive
"This shirt has beautiful colors in it. it goes with burgundy, grey, black, brown, blues, and denim. it's a generous cut, and quite lightweight for fall layering.",positive
"The previous review by beardedlady said it best: ""yes, i do still feel like a little girl playing dress up in it but i don't care. this is a fun, creative dress to be worn on the days when you feel like having a julie andrews moment."" 


in my own opinion, i don't think i can wear this without a topper covering the poufy shoulders so i'm happy that i own the dara moto jacket in plum to toughen up the look. i am 38-27-35/36c/135# and the bodice feels a little loose all over with the size 10 re",positive
"I love it! the fit is very flattering. i read in another review that the top runs small, so i got a small instead of an extra small and it fits perfectly.",positive
"I adore this dress.
the fabrics are elegant and unique and combine for a stunning look!
tried with a belt and looks wonderful with or without......so many options.
perfect dress for warm autumn days!
ordered my usual size and fits very true to size.
a must have!",positive
"I bought this top about 3 weeks ago& love it! i like it because it's better than a plain t-shirt so it's perfect for running around doing errands or shopping. i like the material and the length, i'm 5'8"" and sometimes i feel like shirts are to short. i wash it and hang it to dry, no shrinking or pilling so far! i am ordering this in at least two more colors!",positive
"This dress makes me looks curvy,thin and sexy! i tried on almost every dress in the store in every style. this one was a winner. i bought 2 others but this one was my favorite. i'm 5'5"" 130 (32dd) sz4 fit perfect. the picture on-line does not do it justice - you must give it a chance and try it on for yourself. it looks like an average dress on the model - if you have curves you'll love this dress!",positive
"It's hard to find a sweater that is warm and cozy, but doesn't look bulky. this sweater does it all. it is delicate looking and soft and flattering. it is also surprisingly warm. i wear it with jeans for everyday, but it looks good enough to wear out to dinner or such. i bought the periwinkle which was the most flattering on me (blond and fair). i am hoping to get the green too when they go on sale. i said it runs a little small because i took a small instead of my usual extra small in sweaters.",positive
"I was a little hesitant to order this, thinking it would be too large and unflattering but thankfully i was wrong. this shirt is super cute and comfy. it is a bit of an oversized fit but the fabric drapes nicely and is quite flattering. my new go to outfit this fall will be this shirt with the sleeves rolled up, ankle jeans and my fave oxfords. i'm 5'3"", 115lbs and went with the size 4 regular",positive
"Very cute dress! 5'4, 120 lbs - xs regular was too long, xs petite was perfect length!",positive
"I love the design of this blouse and the pattern, but the colors are a bit darker than in the photo. the quality is pretty poor. i feel like its a snag away from being ruined and thrown away and for this price it is just not worth the purchase. sending it back :( 
it comes with a tank top; just to let others know.",negative
"I don't care because i like be it so much; but, make no mistake, it is not black but rather a dark navy. however please don't let this fall negatively on your decision to buy it. it's fabulous!",positive
"I just recently received this dress in the mail. i went up a size to a 10, i am usually a 6 or 8. it fit perfectly. the top is very fitted and the bottom flows nicely. i really like this dress and am looking forward to wearing it to work or out.",positive
"I have these pants in the blue/grey color and like them so much i got them in olive. wash well, fit perfectly... easy to throw on and look great!!",positive
"Bought this dress on sale in the orange as i feel like everything i have is black. it is a pretty orange not too bright, more of a rust color. it is very soft as stated in other reviews and has a nice built in slip that is very comfortable. i worry about pilling down the road but will have to wait and see. i am not crazy about the seams down the chest area. i think they could be more flattering but overall the dress is comfortable, cute and easy to wear, a perfect dress for the fall/winter with",positive
"Beautiful, detailed sweater. when i tried it on, i felt it made me look a tad bit boxy, but once i pushed the sleeves up about six inches, i loved the way it looked! i'm wearing it tomorrow and know i will get lots of compliments!",positive
"I love this shirt. it's different than other summer tops. it's pretty much as pictured in terms of color and size, and runs true to size. on a windy day the front will come open, but only to your stomach.",positive
"Fabulous with leggings. i am 5'1"", 105 lbs and always wear pxs. the pxs was too large and fit like a ps, so order a size down. i really like it, and going to exchange for a smaller size.",positive
"As t-shirts go, this one has a flattering fit...shapely waist yet not so tight that unwanted curves show. i bought the striped one in my usual medium and it fits perfect now, so will have to be careful when washing. if it were available, i would have tried the large, so if you're a tad senitive about tight clothes i suggest upsizing. it's a nice weight fabric and the details around the v neck are great....the v dips just like the photo - approprialty sexy and age appropriate (i'm 62, 5'3"" at 125",positive
I just bought this today so i can't say whether or not it will wear well but i think it will. i love it bc it's different and super comfy but also stylish. i know that when i wear this other people won't have it on. i think it looks better in person than on this model in picture.,positive
I bought the fuschia colored tank to wear under a sweater for the fall. great color. fits well.,positive
"This coat is wonderful. it's boxy and drapes really nicely. the colors are beautiful and versitile. i love the pockets. the fabric is sturdy, but not heavy. i have nothing but good things to say about this coat. i had to return it, sadly, since it wasn't flattering on my hourglass shape. (i am 5'6"", 34dd-27-42 and the small fit well) if you're confident enough to hide your waste, go for it. your won't regret it.",positive
Love the sleeves - good length and fit. it's a basic tee that has added flare.,positive
"This coat is very soft and flattering in design. good quality and very comfortable. i usually wear a small which is what i got and it fits well. if anything, it is a little snug across the shoulders when i reach forward, so if you plan on wearing a heavier layer underneath, go up a size.",positive
"I love these pants. saw them in-store & couldn't do it at full price but they're a steal on sale. super soft & comfy. love the wide leg. fits true to size. i'm 5'2"" 125 lbs & ordered the xs bc no petite. waistband fits a bit tight but i prefer that to them slipping down. would buy again,",positive
"First, i absolutely love cloth & stone. but lately i'm finding some of the styles are going in a direction that just doesn't fit my style. that's ok because they still have some good basics. 


what i mean is the cut. a lot of their pieces are super long in the back and super short in the front (ie their slip dress they have out right now). this particular tank is like that, although this one is borderline. the sides cut up a little too high for my tastes and i can't help but think i'm wearin",negative
"I was please with how well this shirt fits, and how flattering it is, while adding a bit of visual interest with the unique neckline.",positive
"I'm a fan of yumi kim dresses and consistently wear size small. so, i ordered this in a small, and the top was a little loose, but it was way too short. there's no way i would feel comfortable wearing this in public. i'm 5'7"", and the hem was higher than mid-thigh on me. the waist is also billowy and has no defined shape.",negative
"I love this shirt for a throw on and go.  hangs nicely and fits great.  colors are more vibrant in person.  i love mauve, i think they do a great job with their designs!",positive
"I love this dress! the colors work well with my olive skin color, it has pockets and it has a hi-lo front/back.â â i have slim hips so the tie waist is very flattering which gives an hourglass figure.â â i am 5?2?, 116 lbs and a 32d.â â i usually need a petite size because retailer dresses run a little long on me. but i was able to get away with getting an xs regular because of the hi-lo length. it fell perfectly above my knee.",positive
"Ordered this as a gift.  she said it is great!  nice fabric, great fit.",positive
This was all wrong on me. the puffy sleeves made me look a foot wider. i'm thinking this will look good on tall slim ladies. it is extremely comfortable and the material is very pretty though. tts,positive
"I liked the simple styling of these jeans when i saw them in the store. the price is right considering what some jeans cost today. unfortunately, these are made in china. that bummed me out. they run a tad bit small but in the end i think they are more true to size because they give especially in the waist. the higher waist is a nice change. it's nice to be able to skip a belt. the denim is a bit rough after air drying so i hope it softens up.",positive
"I am 5'3"" and the arms of this sweater run at least 2 inches past my finger tips. if the arms were not quite so rediculously long then i would definitely keep it but unless you are tall, it just doesn't work. also, i felt the length of the waste was a little shorter than what is pictured online. sigh.",negative
"This is the cutest poncho style sweater (but the arms aren't attached like a true poncho. it doesn't work for a petite customer, unfortunately, but on average sized it's gorgeous. so pretty.",positive
"This is a really pretty top. the beading/rivet detail is really cool and it feels comfortable on. i think the lining is really silky and the lace feels gentle, not stiff. the top is kind of like a swing top, there is a lot of fabric, but it is just right. the fabric looks rich and lovely. great top!",positive
